,en
HEAVY_CALIBER_DESCRIPTION,"Increases armour penetration."
HEAVY,Heavy
HEAVY_DESCRIPTION,"Your attack pushes the target back."
BULK_CALIBER,Bulk Caliber
BULK_CALIBER_DESCRIPTION,"Increases armour penetration."
VILE,Vile
VILE_DESCRIPTION,"Causes additional poison damage over time based on cunning."
SHARP,Sharp
SHARP_DESCRIPTION,"Inflicts bleeding causing cutting damage over time based on dexterity."
BOLT,Bolt
BOLT_DESCRIPTION,"High range single-target spell."
BALL,Ball
BALL_DESCRIPTION,"Mid-range spell with increased area."
SPHERE,Sphere
SPHERE_DESCRIPTION,"Short-range spell with increased area."
PILLAR,Pillar
PILLAR_DESCRIPTION,"Single-target spell with increased damage."
DISC,Disc
DISC_DESCRIPTION,"Increased critical hit chance."
BLADE,Blade
BLADE_DESCRIPTION,"Does additional cutting damage based on cunning."
SPIRAL,Spiral
SPIRAL_DESCRIPTION,"Resolves with increased critical hit chance and accuracy."
UNDEAD,Undead
UNDEAD_DESCRIPTION,"Summon an undead creature."
BEAST,Beast
BEAST_DESCRIPTION,"Summon a beast."
CELESTIAL,Celestial
CELESTIAL_DESCRIPTION,"Summon a celestial construct."
ELEMENTAL,Elemental
ELEMENTAL_DESCRIPTION,"Summon an elemental construct."
REVIVE,Revive
REVIVE_DESCRIPTION,"Use necromancy to revive an undead creature."
TAME,Tame
TAME_DESCRIPTION,"Tame a wild beast."
CONJURATION,Conjuration
CONJURATION_DESCRIPTION,"Conjures a magical being."
